회차,지역,선거구명,기호,정당명,성명,한자,성별,생년월일,(연령),직업,학력,경력,경력2,year,age1,seoul,yeonsei,korea,sky,undergra,master,phd,law,politic,corp,govern,election,지지율,_merge,edu1,rating_1
1,강원,태백시,4,무소속,김정남,金正男,남,1944,51,상업,태백기계공고,태백시의회의원,NA,1995,51,0,0,0,0,0,0,0,0,0,0,0,0,8.563218117,master only (1),0,8.563218117
1,강원,고성군,6,무소속,황종국,黃鐘國,남,1937,58,상업,동광중졸,고성군의회의원,NA,1995,58,0,0,0,0,0,0,0,0,0,0,0,0,8.563218117,master only (1),0,8.563218117
1,강원,정선군,3,무소속,이용운,李龍雲,남,1941,54,무,정선종고졸,사북읍장,NA,1995,54,0,0,0,0,0,0,0,0,0,0,0,0,8.563218117,master only (1),0,8.563218117
1,강원,철원군,4,무소속,이근회,李根澮,남,1940,55,농업,경희대학교졸,철원군번영회장,미수복군민회장,1995,55,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
1,강원,속초시,4,무소속,김충호,김충호,남,1938,57,약사,경희대졸,라이온스지구총재,속초시약사회장,1995,57,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
1,강원,고성군,5,무소속,황갑용,黃甲龍,남,1933,61,농업,거진중졸,거진읍장,NA,1995,62,0,0,0,0,0,0,0,0,0,0,0,0,8.563218117,master only (1),0,8.563218117
1,강원,영월군,3,무소속,김태수,金泰洙,남,1934,60,무,강원대졸,홍천부군수,영월부군수,1995,61,0,0,0,0,1,0,0,0,0,0,0,1,8.563218117,master only (1),1,8.563218117
1,강원,영월군,4,무소속,엄정갑,嚴廷甲,남,1935,60,상업,홍익대졸,영월군번영회장,군재향군인회장,1995,60,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
1,강원,강릉시,5,무소속,김명기,金鳴起,남,1937,58,무,동국대중퇴,강원도의회의원,NA,1995,58,0,0,0,0,0,0,0,0,0,0,0,0,8.563218117,master only (1),0,8.563218117
1,강원,횡성군,2,무소속,조태진,趙泰鎭,남,1937,57,농업,횡성고졸,횡성읍장,NA,1995,58,0,0,0,0,0,0,0,0,0,0,0,1,8.563218117,master only (1),0,8.563218117
1,강원,원주시,6,무소속,김호길,金鎬吉,남,1938,56,무,성균관대졸,대성고교교사,반강고전연구소장,1995,57,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
1,강원,인제군,2,무소속,이승호,李升浩,남,1940,55,무,서울사범문리대,인제군번영회장,인제군재향군인회장,1995,55,0,0,0,0,0,0,0,0,0,0,0,1,8.563218117,master only (1),0,8.563218117
1,강원,속초시,6,무소속,백광호,백광호,남,1954,40,교육자,서울대대학원졸,속초시지집필위원,설악신문논설위원,1995,41,1,0,0,1,0,1,0,0,0,0,0,0,8.563218117,master only (1),2,8.563218117
1,강원,정선군,2,무소속,고광운,高光雲,남,1939,55,농업,독학,아태평화재단후원위원,NA,1995,56,0,0,0,0,0,0,0,0,0,0,0,0,8.563218117,master only (1),0,8.563218117
1,강원,태백시,5,무소속,김천수,金天洙,남,1964,30,상업,황지고,,NA,1995,31,0,0,0,0,0,0,0,0,0,0,0,0,8.563218117,master only (1),0,8.563218117
1,강원,춘천시,4,무소속,장만준,張萬俊,남,1957,37,상업,한양대졸,춘천사회발전연구소장,NA,1995,38,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
1,강원,평창군,3,무소속,한영일,韓榮一,남,1938,57,약사,경희대졸,평창군의회의장,NA,1995,57,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
1,강원,속초시,5,무소속,김효덕,김효덕,남,1957,37,회사원,동국대졸,영북신문사사장,속초YMCA이사,1995,38,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
1,강원,고성군,3,무소속,김성진,金聲振,남,1958,36,수련원원장,상지대졸,상재대총학생회장,NA,1995,37,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
1,강원,원주시,7,무소속,나창희,羅昌熙,남,1956,39,무,숭실대졸,원주시의원,NA,1995,39,0,0,0,0,1,0,0,0,0,0,0,0,8.563218117,master only (1),1,8.563218117
